FID,siteID,xcoord,ycoord,panel,Latitude,Longitude
0,Pt-1001,441217.947550999990199,4863033.954269999638200,PanelOne,43.918072789999997,43.918072789999997
1,Pt-1002,643653.103856000001542,4988611.367759999819100,PanelOne,45.036394450000003,45.036394450000003
2,Pt-1003,598445.903341999975964,4947848.153839999809861,PanelOne,44.677248339999998,44.677248339999998
3,Pt-1004,555122.908683000016026,4950377.810250000096858,PanelOne,44.704656610000001,44.704656610000001
4,Pt-1005,484529.057543999981135,4892872.226800000295043,PanelOne,44.188901020000003,44.188901020000003
5,Pt-1006,590713.856841000029817,4961469.298600000329316,PanelOne,44.800865240000000,44.800865240000000
6,Pt-1007,633797.656201999983750,4960527.096219999715686,PanelOne,44.785618149999998,44.785618149999998
7,Pt-1008,552334.404834000044502,4913022.308070000261068,PanelOne,44.368589000000000,44.368589000000000
8,Pt-1009,480272.459320000023581,4898761.266019999980927,PanelOne,44.241817879999999,44.241817879999999
9,Pt-1010,609348.813741000019945,4949758.010870000347495,PanelOne,44.692857910000001,44.692857910000001
10,Pt-1011,424237.223941000003833,4948308.335459999740124,PanelOne,44.684144510000003,44.684144510000003
11,Pt-1012,547603.306208000052720,4936063.282820000313222,PanelOne,44.576336089999998,44.576336089999998
12,Pt-1013,549048.288050999981351,4901219.883770000189543,PanelOne,44.262567500000003,44.262567500000003
13,Pt-1014,576850.569651999976486,4913984.485740000382066,PanelOne,44.375066539999999,44.375066539999999
14,Pt-1015,492032.595748999970965,4914400.933509999886155,PanelOne,44.382845420000002,44.382845420000002
15,Pt-1016,505815.764255999994930,4937422.845830000005662,PanelOne,44.590125999999998,44.590125999999998
16,Pt-1017,448251.384271999995690,4886217.269709999673069,PanelOne,44.127317599999998,44.127317599999998
17,Pt-1018,631972.450976999942213,4995481.881760000251234,PanelOne,45.100486699999998,45.100486699999998
18,Pt-1019,605030.780162999988534,4934197.045839999802411,PanelOne,44.553452880000002,44.553452880000002
19,Pt-1020,542027.415542999980971,4955905.465339999645948,PanelOne,44.755303890000000,44.755303890000000
20,Pt-1021,482213.791182000015397,4887764.021110000088811,PanelOne,44.142858169999997,44.142858169999997
21,Pt-1022,585581.128147999988869,4952155.249970000237226,PanelOne,44.717665580000002,44.717665580000002
22,Pt-1023,632415.689408999984153,4952753.210950000211596,PanelOne,44.715922350000000,44.715922350000000
23,Pt-1024,560068.050137000042014,4937828.275779999792576,PanelOne,44.591292140000000,44.591292140000000
24,Pt-1025,523624.581192000012379,4894051.516520000062883,PanelOne,44.199299830000001,44.199299830000001
25,Pt-1026,599476.448852999950759,4952071.127319999970496,PanelOne,44.715113989999999,44.715113989999999
26,Pt-1027,433086.534288000024389,4913868.355360000394285,PanelOne,44.375006390000003,44.375006390000003
27,Pt-1028,540562.284493000013754,4945897.014019999653101,PanelOne,44.665292119999997,44.665292119999997
28,Pt-1029,417659.281626000010874,4861844.047299999743700,PanelOne,43.905104299999998,43.905104299999998
29,Pt-1030,591000.315724999993108,4940350.537229999899864,PanelOne,44.610747699999997,44.610747699999997
30,Pt-1031,560581.486754999961704,4979635.745140000246465,PanelOne,44.967577820000002,44.967577820000002
31,Pt-1032,528259.412873000022955,4913893.593050000257790,PanelOne,44.377770849999997,44.377770849999997
32,Pt-1033,440292.550511999987066,4877634.964519999921322,PanelOne,44.049447960000002,44.049447960000002
33,Pt-1034,604397.162603999953717,5006575.844979999586940,PanelOne,45.204933789999998,45.204933789999998
34,Pt-1035,629737.479454000014812,4980818.572320000268519,PanelOne,44.968957719999999,44.968957719999999
35,Pt-1036,524510.976102999993600,4955871.115880000405014,PanelOne,44.755809169999999,44.755809169999999
36,Pt-1037,492434.825759999977890,4907780.172550000250340,PanelOne,44.323243429999998,44.323243429999998
37,Pt-1038,575133.762537000002339,4956661.556309999898076,PanelOne,44.759399119999998,44.759399119999998
38,Pt-1039,625902.894179999944754,4963471.742300000041723,PanelOne,44.813550460000002,44.813550460000002
39,Pt-1040,568150.677677000057884,4931747.830679999664426,PanelOne,44.535838269999999,44.535838269999999
40,Pt-1041,535539.271402999991551,4912002.076650000177324,PanelOne,44.360421840000001,44.360421840000001
41,Pt-1042,613688.116220999974757,4937406.340389999561012,PanelOne,44.581022019999999,44.581022019999999
42,Pt-1043,481020.928468000027351,4921321.638360000215471,PanelOne,44.444946289999997,44.444946289999997
43,Pt-1044,528524.355757000041194,4940626.070519999600947,PanelOne,44.618420800000003,44.618420800000003
44,Pt-1045,427395.072161999996752,4894277.574289999902248,PanelOne,44.198104139999998,44.198104139999998
45,Pt-1046,574778.866441000020131,4948000.540570000186563,PanelOne,44.681477240000000,44.681477240000000
46,Pt-1047,554232.460926000028849,4968572.090250000357628,PanelOne,44.868502520000000,44.868502520000000
47,Pt-1048,532220.188119000056759,4921676.385669999755919,PanelOne,44.447671239999998,44.447671239999998
48,Pt-1049,435466.730357000022195,4904451.560530000366271,PanelOne,44.290451390000001,44.290451390000001
49,Pt-1050,654501.979291000054218,4964751.088619999587536,PanelOne,44.819446679999999,44.819446679999999
50,Pt-1051,640951.683994999970309,4967833.152239999733865,OverSamp,44.849982160000003,44.849982160000003
51,Pt-1052,553103.781319999950938,4927015.277510000392795,OverSamp,44.494500789999996,44.494500789999996
52,Pt-1053,484351.110425000020768,4899276.031919999979436,OverSamp,44.246551410000002,44.246551410000002
53,Pt-1054,607428.527942999964580,4971525.148090000264347,OverSamp,44.889046399999998,44.889046399999998
54,Pt-1055,618939.560965999960899,4959331.041869999840856,OverSamp,44.777481440000003,44.777481440000003
55,Pt-1056,557097.035165000008419,4916768.923999999649823,OverSamp,44.401957410000001,44.401957410000001
56,Pt-1057,537127.442678999970667,4897865.847550000064075,OverSamp,44.233077450000003,44.233077450000003
57,Pt-1058,610773.883196000009775,4941571.306909999810159,OverSamp,44.618960559999998,44.618960559999998
58,Pt-1059,480181.331431999977212,4931753.523179999552667,OverSamp,44.538838329999997,44.538838329999997
59,Pt-1060,518978.440390000003390,4921801.940399999730289,OverSamp,44.449270329999997,44.449270329999997
60,Pt-1061,610832.224446999956854,4994835.608529999852180,OverSamp,45.098300899999998,45.098300899999998
61,Pt-1062,600229.121379000018351,4938907.235220000147820,OverSamp,44.596530420000001,44.596530420000001
62,Pt-1063,574019.732487999950536,4957022.449079999700189,OverSamp,44.762763679999999,44.762763679999999
63,Pt-1064,525665.377879000036046,4930289.872139999642968,OverSamp,44.525477330000001,44.525477330000001
64,Pt-1065,436804.891470999980811,4874801.232250000350177,OverSamp,44.023644709999999,44.023644709999999
65,Pt-1066,644433.211480000056326,4992913.197049999609590,OverSamp,45.074940390000002,45.074940390000002
66,Pt-1067,593995.896752999979071,4943883.963639999739826,OverSamp,44.642165310000003,44.642165310000003
67,Pt-1068,543140.487180999945849,4966794.771739999763668,OverSamp,44.853261310000001,44.853261310000001
68,Pt-1069,466614.610018000006676,4890893.486689999699593,OverSamp,44.170486720000000,44.170486720000000
69,Pt-1070,587436.897766000009142,4959518.059940000064671,OverSamp,44.783711560000000,44.783711560000000
70,Pt-1071,638193.835441999952309,4955570.313219999894500,OverSamp,44.740180090000003,44.740180090000003
71,Pt-1072,565473.180532000027597,4945252.384479999542236,OverSamp,44.657649399999997,44.657649399999997
72,Pt-1073,481721.658710999996401,4901207.464589999988675,OverSamp,44.263878910000003,44.263878910000003
73,Pt-1074,604997.744227000046521,4950033.925409999676049,OverSamp,44.695991429999999,44.695991429999999
74,Pt-1075,454704.402028999989852,4953971.263150000013411,OverSamp,44.737693000000000,44.737693000000000
75,Pt-1076,556467.486490000039339,4938482.140820000320673,OverSamp,44.597469709999999,44.597469709999999
76,Pt-1077,560956.062304000020958,4909780.344039999879897,OverSamp,44.338730900000002,44.338730900000002
77,Pt-1078,584994.087775000021793,4923374.804999999701977,OverSamp,44.458682560000000,44.458682560000000
78,Pt-1079,498645.688115999975707,4919809.241209999658167,OverSamp,44.431578219999999,44.431578219999999
79,Pt-1080,503816.998542000015732,4931862.868999999947846,OverSamp,44.540085070000003,44.540085070000003
80,Pt-1081,463088.724251999985427,4889806.263050000183284,OverSamp,44.160528759999998,44.160528759999998
81,Pt-1082,578869.889070000033826,5008729.291299999691546,OverSamp,45.227635900000003,45.227635900000003
82,Pt-1083,604399.443199999979697,4935932.401290000416338,OverSamp,44.569163260000003,44.569163260000003
83,Pt-1084,544413.549064000020735,4950244.622530000284314,OverSamp,44.704201279999999,44.704201279999999
84,Pt-1085,478473.548078000021633,4880739.598589999601245,OverSamp,44.079515049999998,44.079515049999998
85,Pt-1086,591149.129166999948211,4954808.913750000298023,OverSamp,44.740863259999998,44.740863259999998
86,Pt-1087,639453.294523000018671,4959321.816949999891222,OverSamp,44.773692099999998,44.773692099999998
87,Pt-1088,563398.718227999983355,4939107.993320000357926,OverSamp,44.602526019999999,44.602526019999999
88,Pt-1089,507992.184071000025142,4910451.432719999924302,OverSamp,44.347288120000002,44.347288120000002
89,Pt-1090,597608.435356999980286,4959521.070220000110567,OverSamp,44.782422140000001,44.782422140000001
90,Pt-1091,439494.253406999981962,4923299.336170000024140,OverSamp,44.460467680000001,44.460467680000001
91,Pt-1092,554983.960220000008121,4941302.894639999605715,OverSamp,44.622976719999997,44.622976719999997
92,Pt-1093,424517.000210000027437,4858711.435920000076294,OverSamp,43.877637419999999,43.877637419999999
93,Pt-1094,585471.973375999950804,4934044.147079999558628,OverSamp,44.554662250000000,44.554662250000000
94,Pt-1095,556902.234489000053145,4972025.583039999939501,OverSamp,44.899380630000003,44.899380630000003
95,Pt-1096,522071.845234000007622,4913565.167969999834895,OverSamp,44.375028909999997,44.375028909999997
96,Pt-1097,440449.351336000021547,4891578.674599999561906,OverSamp,44.174989959999998,44.174989959999998
97,Pt-1098,651048.038096999982372,4981985.647450000047684,OverSamp,44.975246120000001,44.975246120000001
98,Pt-1099,630110.023155999951996,4969487.122120000422001,OverSamp,44.866925500000001,44.866925500000001
99,Pt-1100,532942.916766999987885,4960640.506219999864697,OverSamp,44.798404880000000,44.798404880000000
100,Pt-1101,488598.704777000006288,4906051.064829999580979,OverSamp,44.307626210000002,44.307626210000002
101,Pt-1102,589182.437624000012875,4976079.619300000369549,OverSamp,44.932556599999998,44.932556599999998
102,Pt-1103,622984.916069000028074,4958940.490090000443161,OverSamp,44.773282520000002,44.773282520000002
103,Pt-1104,573989.322748000035062,4916198.402080000378191,OverSamp,44.395293230000000,44.395293230000000
104,Pt-1105,525663.987726000021212,4900686.348360000178218,OverSamp,44.258964360000000,44.258964360000000
105,Pt-1106,627190.310150000033900,4942943.332609999924898,OverSamp,44.628590729999999,44.628590729999999
106,Pt-1107,474422.152176000003237,4916991.476459999568760,OverSamp,44.405759889999999,44.405759889999999
